Name,Tags,Text,Date
AutoDiff and FCNN from scratch,"C++, CUDA, Numpy, PyTorch, Python","https://github.com/RBZ-99/DL_sys (Dr. Zico Kolter, Dr. Tianqi Chen)",
ML and AI Safety,,Course made by Dan Hendricks,
Chatbot,"NLP, Python, nltk",https://github.com/RBZ-99/Chatbot,
Biophysical Characterization of Protein Structure,"BLAST, CHIMERA, PSORT, PYMOL, WOLF",,
Active learning for image classification,"PyTorch, Python",,
miRNA target prediction,"Biology, PyTorch, Python",,
Interpretable Deep learning using GRAD CAM,"PyTorch, Python",,
Computer Architecture- Verilog,Verilog,https://github.com/RBZ-99/VERILOG,
Custom Language and Compiler from Scratch,"C, Script",https://github.com/RBZ-99/Compiler_project,
Information Retrieval System,"Python, Tensorflow",https://github.com/RBZ-99/Information-Retrieval,
Genetic Engineering,"PCR, Wet lab, pipetting",,
